Energy Product,Supply (TJ),Demand (TJ)
Motor Spirit (Premium),4581.83,2314.7
Aviation Gasoline,7.64,60.0
Jet Fuel,2519.38,2444.7
Illuminating Kerosene,6.0,514.3
White Spirit & Industrial Spirits,12.52,961.4
Light Diesel Oil,7845.02,19079.1
Heavy Diesel Oil,0.06,7375.8
Lubricating Oils,1276.82,500.3
Lubricating Greases,23.5,98.7
Other Oils,9.66,345.9
