Region,5 Star Hotels,4 Star Hotels,3 Star Hotels,2 Star Hotels,1 Star Hotels
Great Nairobi,9,16,12,10,1
South Rift,4,18,14,12,2
Coast,3,12,10,8,0
Eastern,0,5,3,2,0
North Rift,0,6,5,4,0
